model,epoch,average_loss,accuracy,correct_data,total_data,distance
13,86,0.1422216158036632,96.21212121212122,9525,9900,2.144674327642584
36,86,0.012967724967089415,99.61616161616162,9862,9900,2.2670243775714938
58,86,0.13203861111944373,96.75757575757575,9579,9900,2.165134536227955
71,86,0.12231516154125484,96.83838383838383,9587,9900,2.3611322389542484
global,86,11.041665664826981,0.26262626262626265,26,9900
13,87,0.11120473896012162,97.25252525252526,9628,9900,2.2397925582267524
36,87,0.1841402261546164,95.33333333333334,9438,9900,2.2645447358951336
58,87,0.1427405361515103,96.3030303030303,9534,9900,2.0990066585862244
71,87,0.09396908208276286,97.69696969696969,9672,9900,2.322734762918407
global,87,9.739188294073548,1.0101010101010102,100,9900
13,88,0.3863521966789708,90.87878787878788,8997,9900,2.1818210455485536
36,88,0.16290537033117178,95.77777777777777,9482,9900,2.221984869149209
58,88,0.09387964163163695,97.51515151515152,9654,9900,2.2305006034968264
71,88,0.1289629661530783,96.65656565656565,9569,9900,2.337728878790263
global,88,9.407113841663707,1.606060606060606,159,9900
13,89,0.21694788188645334,94.42424242424242,9348,9900,2.175896961689736
36,89,0.12963727712029158,96.53535353535354,9557,9900,2.280129980765792
58,89,0.3659905167300292,91.62626262626262,9071,9900,2.073201937830566
71,89,0.5180349449196248,86.93939393939394,8607,9900,2.3568074991033083
